sen1_origin_id,sentence1,sen1_paraphrase0,sen1_paraphrase1,sen1_task,sen2_origin_id,sentence2,sen2_paraphrase0,sen2_paraphrase1,sen2_task
RTE3_dev.column_s1_490,"A collection of real-life testimonies by Klaus Pohl , one of Germany 's most performed dramatists , its power resides less in the conventional meaning of the word drama than in what it reveals - a country still deeply at odds with itself , a kaleidoscope of events that flatters neither side , neither Western capitalism nor the former communist regime .","A collection of real-life testimonies by Klaus Pohl, one of Germany's most executed dramatists, its power resides less in the conventional meaning of the word drama than in what it revealed - a country still deeply in discord, a kaleidoscope of events which neither side, neither Western capitalism nor the former communist regime.","A collection of real-life testimonies by Klaus Pohl, one of Germany's most renowned dramatists, its power lies less in the conventional meaning of the word drama than in what it reveals - a country still deeply in conflict, a kaleidoskop of events that neither side, neither Western capitalism nor the former communist regime.",QA,RTE3_dev.column_s1_308,"ON 29 June the Dutch right-wing coalition government collapsed . It was made up of the Christian-democrats ( CDA ) led by Prime Minister Jan Peter Balkenende , the right wing liberal party ( VVD ) and the so-called ' left-liberal ' D 66 .","On 29 June, the Dutch right-wing coalition government collapsed, the Christian-Democracy ( CDA ), led by Prime Minister Jan Peter Balkenende, the Right wing Liberal Party ( VVD ) and the so-called'left liberal D 66.","ON 29 June, the Dutch right-wing coalition government collapsed, composed of Christian-democrats ( CDA ) led by Minister Jan Peter Balkenende, the right-wing liberal party ( VVD ) and the so-called 'left-wing'D 66.",IR
RTE3_dev.column_s1_287,Italy 's highest court has upheld a court verdict that partially cleared former Prime Minister Giulio Andreotti of having colluded with the Mafia .,"Italy's highest court upheld a court verdict, partially releasing former prime minister Giulio Andreotti from conspiracy with the Mafia.","Italy's highest court upheld a court verdict, which partially cleared former prime minister Giulio Andreotti of collusion with the Mafia.",IR,RTE3_dev.column_s1_647,GM established grounds for suspicion of industrial spying by presenting affidavits from its employees . The aim will be to determine if VW 's project was copied from GM data - essential if industrial espionage is to be proved .,"GM established grounds for suspicion of industrial spying by presenting affidavits from its employees, which will determine whether VW's project has been copied from GM data, essential if industrial espionage is to be proved.","GM established ground for suspicion of industrial spying by presenting affidavits from employees, in order to determine whether VW's project was copied from GM data, vital to prove industrial espionage.",SUM
RTE3_dev.column_s1_480,"The Argentinian propaganda made the Gurkhas out to be evil savages who ate their PoW 's . However instead of causing the Argentinian conscripts fight to the end , it caused them to run away , the Gurkhas never saw more than brief token resistance .","The Argentinian propaganda made the Gurkhas into evil savages who ate their PoW, but instead of causing the Argentinian conscripts to fight to the end, it caused them to escape, the Gurkhas never saw more than just a brief token resistance.","The Argentinian propaganda made the Gurkhas out to be evil savages who ate their PoW's, but instead of leading the Argentinian conscripts to fight till the end it caused them to run away, the Gurkhas never saw more than small token resistance.",QA,RTE1_dev.column_s1_202,Passions surrounding Germany 's final match at the Euro 2004 soccer championships turned violent when a woman stabbed her partner in the head because she did n't want to watch the game on television .,Passions about Germany's final match at the 2004 Euro soccer championships turned violent when a woman stabbed her partner in the head because she didn t want to watch the game on TV.,Passions around Germany's final game at the 2004 World Cup soccer championships turned violent when a woman stabbed her partner in the head because she did not want to see the game on TV.,RC
RTE1_dev.column_s1_591,"A jury is slated to decide for the first time whether Jack Kevorkian , famed as `` Dr. Death , '' has violated Michigan 's assisted-suicide ban , while the state continues to grapple with the issue of what to allow when the ill want to end their pain by ending their lives .","A jury is scheduled to decide for the first time whether Jack Kevorkian, known as  Dr. Death '', has violated Michigan's assisted suicide ban, while the state continues to grapple with the question of what to allow when the sick want to end their pain by ending their lives.","A jury is scheduled to decide for the first time if Jack Kevorkian, known as  Dr. Death '', has violated Michigan's assisted suicide ban, while the state continues to grapple with the issue of what to allow when the ill want to end their pain by ending their lives.",QA,RTE3_dev.column_s1_526,"It is outstripped only by Denmark , the Netherlands , Belgium , Sweden , Finland and France , and thus ranks 7 th in the 25-member European Union in terms of broadband Internet penetration .","It is outstripped by Denmark, the Netherlands, Belgium, Sweden, Finland and France only, and thus ranks 7th in the 25-member eu in terms of broadband penetration.","It is only surpassed by Denmark, the Netherlands, Belgium, Sweden, Finland, and France, and thus ranks 7th in the 25 member EU in terms of broadband internet penetration.",QA
RTE1_dev.column_s1_693,"This growth proved short-lived , for a Swedish invasion ( 1655-56 ) devastated the flourishing city of Warsaw .",This growth proved short-lived for a Swedish invasion ( 1655-56 ) had destroyed the flourishing town of Warsaw.,"This expansion proved short-lived, for a Swedish invasion ( 1655 - 56 ) devastated the flourishing city of Warsaw.",CD,RTE3_dev.column_s1_514,The Norwegian Newspaper Corpus is a large and self-expanding corpus of Norwegian newspaper texts . The collection of this dynamic and continually growing corpus began in 1998 .,The Norwegian Newspaper Corpus is a large and rapidly growing corpus of Norwegian newspapers. The collection of this dynamic and continuously growing corpus began in 1998.,"The Norwegian Newspaper Corpus is a large and self-expanding corpus of Norwegian newspaper texts, which began collecting in 1998.",QA
RTE1_dev.column_s1_566,"`` I just hope I do n't become so blissful I become boring. '' - Nirvana leader Kurt Cobain , giving meaning to his `` Teen Spirit '' coda `` a denial '' .","Kurt Cobain, giving meaning to his  Teen Spirit '' coda  a denial '' - Nirvana leader Kurt Cobain.","'' - Nirvana leader Kurt Cobain, giving meaning to his  Teen Spirit '' coda  denial ''.",QA,RTE1_dev.column_s1_641,"`` Mayday ! Here is Estonia ! Outside Uto lighthouse . We have listed 20 to 30 degrees , `` the Finnish Coast Guard quoted the distress signal .","We have listed 20 to 30 degrees outside Uto Lighthouse,  the Finnish Coast Guard quotes the distress warning.","Outside the lighthouse of Uto, we have listed 20 to 30 degrees,  The Finnish Coast Guard quotes the distress signal.",QA
RTE3_dev.column_s1_540,"New Delhi : More than 100 Nobel prize winners , two US congressmen , and leading labour organizations have expressed concern over threats against the life of Kailash Satyarthi , India 's leading opponent of child labour .","More than 100 Nobel Prize winners, two US Congressmen and leading labour organizations expressed concern about threats to the life of Kailash Satyarthi, India's leading opponent of child labour.","More than 100 Nobel Prize winners, two US Congressmen, and leading labour organisations have expressed concern over threats against Kailash Satyarthi's life, India's leading opponent of child labour.",QA,RTE3_dev.column_s1_322,"Research workers of the German archaeological institute have discovered a mummy in permafrost at excavation work in Mongolia of approximately 2,500 years old .","Research workers from the German archaeological institute found a mummy in permafrost of about 2,500 years old in excavation work in Mongolia.","Research workers of the German archaeological institute have found a mummy in permafrost from 2,500 years old during excavation work in Mongolia.",IR
RTE3_dev.column_s1_304,Nick Leeson was jailed for fraud following the collapse of Barings Bank in 1995 . He had run up losses of 850 m on the Far East stock markets .,Nick Leeson was jailed following the 1997 collapse of Barings Bank for fraud following the 1994 bankruptcy and had accumulated losses of 850 m on the Far East stock markets.,Nick Leeson was jailed for fraud following the 1995 Barings Bank collapse. He had lost 850 m on the Far East stock market.,IR,RTE1_dev.column_s1_201,Passions surrounding Germany 's final match at the Euro 2004 soccer championships turned violent when a woman stabbed her partner in the head because she did n't want to watch the game on television .,Passions around Germany's final match at the 2004 Euro soccer championships turned violent when a woman stabbed her partner in the head because she did not want to see the game on television.,Passions surrounding Germany's final match at the 2004 Euro Soccer Championships turn violent when a woman stabs her partner in the head because she did not want to see the game on television.,RC
RTE3_dev.column_s1_460,"Gonzlez Mrquez , Felipe is a Spanish political leader . After joining what was then the Spanish Socialist Workers ' party , Gonzlez became its secretary-general and revived it from the moribund position into which it had fallen under Franco .","Felipe Gonzlez Mrquez, Felipe is a Spanish political leader, who joined what was then the Spanish socialist workers'party and after being appointed secretary-general, Gonzlez revived it from the moribund position it had fallen into under Franco.","Felipe Gonzlez, a Spanish political leader, has become a Spanish political leader, after joining what was then the Spanish Socialist Workers'Party, Gonzlez became its Secretary-General and revived him from the moribund position which it had fallen under Franco.",QA,RTE3_dev.column_s1_319,Prime Minister Jos Manuel Duro Barroso resigns . He is to assume the presidency of the European Commission later in the year ( the European Parliament approves him on July 22 ) .,"Prime Minister Jos Manuel Duro Barroso resigns, who is set to take over the presidency of the European Commission later this year ( the European Parliament approves him on 22 July ).",Premier Jos Manuel Duro resigns Barroso and is set to assume the presidency of the European Commission later this year ( the European Parliament approves him on 22 July ).,IR
RTE3_dev.column_s1_358,"The liner notes to the CD surmise that Farrakhan is the author of three selections , `` Is She Is , or Is She Ai n't '' , `` Do n't Touch Me Nylon , '' and `` Female Boxer '' and that is quite possible . The most interesting is the first of these three , a topical number on Christie Jorgensen , the subject of a series of sex change operations . While such transexual operations have since become more common , this was the first to receive high publicity .","The liner notes to the CD indicate that Farrakhan is the author of three selections,  Is She Is, or Is She Ain't '',  Don't Touch Me Nylon '' and  Female Boxer '' and that is quite possible. The most interesting of these three is the first, a topical number on Christie Jorgensen, the subject of a series of sex change operations,","The liner notes to the CD indicate that Farrakhan is the author of three selections,  Is She Is, or Is She Ai n '',  Do n 't Touch Me Nylon, '' and  Female Boxer  and that is quite possible. The most interesting of these three is the first of them, a topical number about Christie Jorgensen, subject of a series of sex change operations ",IR,RTE3_dev.column_s1_255,"Every year , about a quarter of all children sustain an injury serious enough to require medical attention , school absences , and / or bed rest .","About a quarter of all children in every year sustain a serious injury that requires medical attention, school absences and bed rest.","About a quarter of all children in the United States have a serious injury each year, which requires medical attention, school absences and / or bed rest.",IR
