sen1_origin_id,sentence1,sen1_paraphrase0,sen1_task,sen2_origin_id,sentence2,sen2_paraphrase0,sen2_task,sen3_origin_id,sentence3,sen3_paraphrase0,sen3_task,sen4_origin_id,sentence4,sen4_paraphrase0,sen4_task
RTE2_dev.column_s1_288,"To mark the 20 th anniversary of John Lennon 's death tomorrow ( December 8 ) , his widow , Yoko Ono , has erected billboards supporting gun control in three major U.S. cities .","His widow, Yoko Ono, has erected billboards in three major U.S. cities in order to mark the 20th anniversary of John Lennon's death tomorrow ( December 8 ).",QA,RTE2_dev.column_s1_162,"Renminbi - RMB ( commonly used in China ) , is the basic unit of currency issued by the People 's Bank of China .","Renminbi - RMB ( commonly used in China ), is the basic currency set by the People's Bank of China.",QA,RTE3_dev.column_s1_149,"In 1869 Sumner resigned his see , but continued to live at the official residence at Farnham until his death on the 15 th of August 1874 .","In 1869 Sumner left his present to his watch, but continued to live in the official residence at Farnham until his death on the 15 August 1874.",IE,,,,
RTE3_dev.column_s1_160,"The Canadian parliament 's Ethics Commission said former immigration minister , Judy Sgro , did nothing wrong and her staff had put her into a conflict of interest .","The Canadian Parliament's Ethics Commission said that the former Immigration Minister, Judy Sgro, had done nothing wrong, and her staff had put her in a conflict of interest.",IE,RTE2_dev.column_s1_767,A recent study found no evidence of seasonal affective disorder in Iceland where the sun does not appear for a long time in the winter .,A recent study found that there was no evidence of seasonal affective disorder in Iceland where the sun doesn 't appear for long in winter.,IR,RTE2_dev.column_s1_571,Sani-Seat can offset the rising cost of paper products,Sani-Seat can offset the rising cost of paper products with an increasing cost of Sani-Seat,IR,RTE2_dev.column_s1_138,US military forces are evacuating U.S. citizens and citizens of 72 other countries from Liberia at the request of the U.S .,Americans evacuating U.S. citizens and citizens of 72 other countries from Liberia on the request of the U.S.,IR
RTE2_dev.column_s1_287,The harvest of sea-weeds is not allowed in the Puget Sound because of marine vegetation 's vital role in providing habitat to important species .,The harvest of seaweeds is not allowed in Puget Sound because marine vegetation is essential in the delivery of habitat to important species.,IR,RTE2_dev.column_s1_454,"Vegetables help to preserve your bones , and help fight the bone-thinning disease osteoporosis .","Vegetables help to preserve your bones, and help fight the osteoporosis, a bone thinning disease.",IR,RTE3_dev.column_s1_428,"The United States Marshals Service working together with nearly 960 other law enforcement agencies recently concluded a week-long operation , Operation FALCON , which succeeded in the arrest of 10,340 fugitives across the United States and elsewhere . Other regional sweeps have been conducted before ; but this was the first of its kind at the national level and resulted in the highest number of arrests ever recorded in a single operation .","United States Marshals Service recently ended a week-long operation, Operation FALCON, which led to the arrest of 10,340 fugitives across the United States and elsewhere, but this was the first of its kind at the national level, and resulted in the highest number of arrests ever recorded in a single operation.",QA,RTE2_dev.column_s1_686,"Immediately after 1990 , however , Swedish fertility plummeted in another unique movement , and had fallen to 1.5 children per woman in 1998 and in 1999 . This is the lowest birth rate in Sweden ever-although above the European average .","Immediately after 1990, however, Swedish fertility fell in another unique move, and had fallen to 1.5 children per woman in 1998 and in 1999, which was the lowest birth rate in Sweden, although above the European average.",QA
RTE2_dev.column_s1_488,Obesity is medically accepted to be a disease in its own right .,Obesity is medically accepted to be a disease in itself.,IR,RTE2_dev.column_s1_331,Pibul was anti-communist as well as nationalistic .,Pibul was anti-communist as well as nationalist.,QA,RTE2_dev.column_s1_94,"If legalization reduced current narcotics enforcement costs by one-third to one-fourth , it might save $ 6 - $ 9 billion per year .","If legalization decreased current enforcement costs of narcotics from one-third to one-fourth, it would save $ 6 -- 9 billion per year.",IR,RTE3_dev.column_s1_686,A total of 79 per cent of people questioned in a survey agreed that adults suffering incurable illness should receive ' medical help to a peaceful death ' .,A total of 79 per cent of the respondents to a survey agreed that adults suffering incurable illness should receive'medical help to a peaceful death '.,SUM
RTE2_dev.column_s1_566,"The headquarters of the WTO are in Geneva , but the disputes which come under its purview are settled in Paris , under ICC rules .","The WTO's headquarters are located in Geneva, but disputes which fall under its purview are settled under ICC rules in Paris.",QA,RTE2_dev.column_s1_305,Tropical storm Koni dumped significant rains on the Philippines before becoming a minimal typhoon and eventually making landfall on the northern coast of Vietnam .,Tropical storm Koni caused significant rainfall on the Philippines before turning into a minimal typhoon and eventually making landfall on the northern coast of Vietnam.,IR,RTE3_dev.column_s1_685,"If toxic waste containg cyanide is not disposed of properly , it may drain into ponds , streams , sewers , and reservoirs .","If toxic waste contains cyanide not properly disposed of, it may enter ponds, streams, sewers and reservoirs.",SUM,RTE2_dev.column_s1_206,"It has been observed that in those countries of the world where capital punishment is still in operation , the crime rate , especially murder , is distinctively low in comparison to countries where capital punishment has been discarded .","It has been observed that in countries in which capital punishment is still in operation, the crime rate is distinctively low compared to countries in which capital punishment has been dispensed, particularly murder.",IR
RTE3_dev.column_s1_448,"NPF said that young people displaying onset symptoms of Parkinson 's disease have special needs , because they often have children to raise , jobs to keep and other issues to address that are different than those patients in retirement years .","NPF said that young people with onset symptoms of Parkinson's disease have special needs because they often have children to raise, jobs to keep and other problems to address that are different from those of those in retirement years.",QA,RTE2_dev.column_s1_752,"Nonetheless , a literacy rate of 96 percent put Cuba on a par with such highly developed countries as Japan , France , the Soviet Union , Switzerland and Italy , Campo said .","Campo noted a literacy rate of 96 percent, but it was not unlike such highly developed countries as Japan, France, the Soviet Union, Switzerland and Italy that Cuba ranked on a par with.",QA,RTE2_dev.column_s1_79,"Six people were killed and 10 injured on Tuesday in a gun battle between rival militiamen in Somalia 's capital Mogadishu , witnesses and clan elders said .","Six people were killed and 10 wounded on Tuesday in a gunfight between rival militiamen in Somalia's capital Mogadishu, witnesses and clan elders said.",QA,RTE2_dev.column_s1_703,"Mercedes-Benz is another German luxury-car manufacturer , but its M-Class sport-utility vehicle is assembled in Alabama and the new G-Class is from Austria .","Mercedes-Benz is another German luxury vehicle manufacturer, but its M-class sport utility vehicle is built in Alabama and the new G-class is made in Austria.",QA
RTE2_dev.column_s1_517,Women are poorly trained for politics .,Women are poorly educated for politics.,IR,RTE2_dev.column_s1_487,"Rather than deterring crime , capital punishment actually increases the level of brutality in society .","Instead of deterring crime, capital punishment actually increases the degree of brutality in society.",IR,RTE2_dev.column_s1_576,"For a western European country , the birth rate in Finland is high .","For a western European country, Finland's birth rate is high.",QA,RTE2_dev.column_s1_238,"NRDC states its mission as follows : The Natural Resources Defense Council 's purpose is to safeguard the Earth : its people , its plants , animals , and the natural systems on which all life depends .","The goal of the Natural Resources Defense Council is to protect the Earth : its people, its plants, animals and the natural systems that all life depends on.",QA
RTE2_dev.column_s1_230,"Nor is it clear whether any US support to Germany , in favour of Bonn as the WTO headquarters , would necessarily tilt a decision in that direction .",Nor is it clear if any US support for Germany in favor of Bonn as WTO headquarters would necessarily tilt a decision in that direction.,QA,RTE2_dev.column_s1_196,Most commercial logwood is grown in Honduras .,Most commercial logwood is produced in Honduras.,IR,RTE3_dev.column_s1_632,"The borrowers must form five-member groups that , along with the bank 's field workers , closely supervise the loans . Peer pressure substitutes for collateral because the group 's first two borrowers have to start repaying the principal plus interest over a six-week period before the other members can take out loans . The interest rate is fixed at 16 percent .","The borrowers must form five-member groups, who, along with the bank's field workers, closely monitor the loans. Peer pressure substitutes for collateral because the group's first two borrowers must repay the principal plus interest over a six-week period before the other members can take out loans. The interest rate is fixed at 16 percent.",SUM,RTE2_dev.column_s1_391,"And this is a town that everybody agrees , law enforcement , Border Patrol , residents on both sides , is a staging area of illegal drugs and illegal aliens .","And this is a city that everybody agrees : border patrol, police, residents of both sides is a staging area of illegal drugs and illegal aliens.",IR
RTE3_dev.column_s1_46,"Shares of O 2 Plc , which this week agreed to be bought for 17.7 billion pounds ( $ 31.3 billion ) by Telefonica SA , fell after Deutsche Telekom AG said it wo n't make a counter offer .","O 2 Plc's shares, which agreed to be bought by Telefonica SA for 17.7 billion pounds ( $31.3 billion ) this week, fell after Deutsche Telekom AG said that it did not make a counter-offer.",IE,RTE2_dev.column_s1_386,"Over 100 more lives were lost at sea , and 1800 were lost in Holland .","On the sea, more than 100 more lives were lost, and 1800 were lost in Holland.",IR,RTE2_dev.column_s1_129,"Natalya Reshetovskaya , 84 , was the first wife of Alexander Solzhenitsyn .","Natalya Reshetovskaya, 84, was Alexander Solzhenitsyn's first wife.",QA,RTE2_dev.column_s1_710,World Bank programs have been heavily criticized for many years for resulting in poverty .,Programmes of the World Bank have been heavily criticized for many years for their endowing poverty.,IR
RTE2_dev.column_s1_399,"In reality , legalization would dramatically expand America 's drug dependence , significantly increase the social costs of drug abuse , and put countless more innocent lives at risk .","In reality, legalization would drastically expand America's drug dependency, significantly increase the social costs of drug abuse and put countless more innocent lives at risk.",IR,RTE1_dev.column_s1_240,"Shares of Salesforce closed Wednesday at $ 17.20 , more than 50 % above their offering price .","Salesforce closed $ 17.20 on Wednesday, more than 50 % above their selling price.",RC,RTE2_dev.column_s1_626,"The Bank of Italy , the ultimate arbiter of Italian banking mergers , has been engulfed by scandal since police wire taps revealed Fazio and his wife advised a local banker in a bid for bank Antonveneta against Dutch bank ABN AMRO .","The Bank of Italy, the ultimate arbitrator of Italian banking mergers, has been engulfed in scandal since police intercepted television tapes revealed Fazio and his wife advised a local banker in a bid to finance the bank Antonveneta against Dutch bank ABN AMRO.",IE,RTE2_dev.column_s1_646,"San Salvador , Jan. 13 , ' 90 ( Acan-Efe ) - The bodies of Hector Oqueli and Gilda Flores , who had been kidnapped on the 12 th of January , were found in Cuilapa , Guatemala , near the border with El Salvador , the relatives of one of the victims have reported .","The bodies of Hector Oqueli and Gilda Flores, who had been kidnapped on 12 January, were found in Cuilapa, Guatemala, near the border with El Salvador, according to relatives of one of the victims.",IE
